site_no,min_date,max_date,lam1Obs,tau2Obs,tau3Obs,tau4Obs,ar1Obs,amplitudeObs,phaseObs,med_flowObs,cv_flowObs,cv_dailyObs,flow_10Obs,flow_25Obs,flow_50Obs,flow_75Obs,flow_90Obs,flow_15Obs,ma1_mean_disc,ma2_median_disc,ma3_mean_annual_var,ma4,ma5_skew,ma6,ma7,ma8,ma9,ma10,ma11,ma12_jan_mean,ma13_feb_mean,ma14_mar_mean,ma15_apr_mean,ma16_may_mean,ma17_june_mean,ma18_july_mean,ma19_aug_mean,ma20_sep_mean,ma21_oct_mean,ma22_nov_mean,ma23_dec_mean,ma24_jan_var,ma25_feb_var,ma26_mar_var,ma27_apr_var,ma28_may_var,ma29_jun_var,ma30_july_var,ma31_aug_var,ma32_sep_var,ma33_oct_var,ma34_nov_var,ma35_dec_var,ma36,ma37_var_across_months,ma38,ma39_monthly_std_dev,ma40_monthly_skewness,ma41,ma42,ma43,ma44,ma45,ml1,ml2,ml3,ml4,ml5,ml6,ml7,ml8,ml9,ml10,ml11,ml12,ml13_min_monthly_var,ml14_min_annual_flow,ml15,ml16,ml17,ml18,ml19,ml20,ml21,ml22,mh1,mh2,mh3,mh4,mh5,mh6,mh7,mh8,mh9,mh10,mh11,mh12,mh13,mh14_med_annual_max,mh15,mh16_high_flow_index,mh17,mh18,mh19,mh20,mh21,mh22,mh23,mh24,mh25,mh26_high_peak_flow,mh27,fl1_low_flood_pulse,fl2_low_pulse_var,fl3,fh1_high_pulse_count,fh2_high_pulse_var,fh3_high_pulse_count_three,fh4_high_pulse_count_seven,fh5,fh6,fh7,fh8,fh9,fh10,fh11,dl1_min_daily_flow,dl2_min_3_day_avg,dl3,dl4_min_30_day_avg,dl5_min_90_day_avg,dl6_min_flow_var,dl7,dl8,dl9_min_30_day_var,dl10_min_90_day_var,dl11,dl12,dl13,dl14,dl15,dl16,dl17,dl18_zero_flow_days,dl19,dl20,dh1,dh2,dh3,dh4,dh5_max_90_day_avg,dh6,dh7,dh8,dh9,dh10_max_90_day_var,dh11,dh12,dh13,dh14,dh15,dh16,dh17,dh18,dh19,dh20,dh21,dh22,dh23,dh24,ta1,ta2,ta3,tl1_min_flow_julian_day,tl2_min_julian_var,tl3,tl4,th1_max_flow_julian_day,th2_max_julian_var,th3,ra1_rise_rate,ra2_rise_rate_var,ra3_fall_rate,ra4_fall_rate_var,ra5,ra6,ra7,ra8,ra9,comment
CF273,10/1/88,9/30/14,1.22,0.5,0.42,0.3,0.11,0.14,-0.5,1.23,0.32,1.34,0.18635,0.4163,0.8291,1.472,2.4465,0.263725,1.22,0.83,123.25,80.61,1.47,13.14,5.02,3.54,2.72,1.62,1.27,1.4,1.52,1.69,1.31,0.94,0.96,0.94,0.98,1.42,1.24,1.11,1.14,68,71,70,75,95,107,106,107,140,113,100,92,4.5,0.91,1.94,64.65,0.2,0.02,1.49,0.39,0.82,-0.01,0.66,0.81,0.87,0.61,0.35,0.26,0.3,0.37,0.36,0.45,0.45,0.51,90.79,0.07,0.05,0.05,0.09,74.13,5.23,0.53,86.6,0,5,5.38,6.51,5.32,4.65,5.34,4,4.25,10.23,7.51,5.24,5.26,92.18,19.93,8.81,2.95,1.77,19.34,0.14,0.25,11.23,4.72,5.62,4.05,6.59,12.33,4.88,16.15,52.72,11.5,25.08,22.21,35.65,6.19,23.65,18.88,5.27,25.08,16.46,2.62,0.5,0.06,0.08,0.11,0.3,0.57,91.94,75.46,74.79,69.48,49.83,0.07,0.13,0.36,0.5,0.22,5.42,32.49,0,0,0,17.42,8.58,5.04,2.77,1.9,54.94,48.91,43.67,33.35,36.74,21.01,6.08,3.34,2.34,3.19,70.2,12.12,1.79,1.16,3.89,33.96,77.79,2,251.5,0.44,52.67,0.54,224.43,62.02,0.18,0.01,242.03,74.82,0.37,1.12,212.47,0.4,314.11,0.26,0.41,0.13,129,6.41,
CF274,10/1/88,9/30/14,0.83,0.74,0.71,0.55,0.05,0.04,0,0.8,0.32,2.85,0.04004,0.0995575,0.2378,0.5968,1.59,0.058585,0.83,0.24,270.33,155.09,3.46,39.76,9.54,6,6.46,2.78,2.07,0.89,0.89,1.18,0.74,0.67,0.73,0.61,0.7,1.19,0.84,0.78,0.81,166,163,191,172,206,203,198,234,250,251,222,212,9.76,1.02,1.95,82.51,0.23,0.02,1.5,0.43,0.83,0.04,0.24,0.26,0.26,0.17,0.09,0.06,0.06,0.08,0.1,0.12,0.12,0.17,121.37,0.06,0.02,0.06,0.03,79.05,2.14,0.23,151.25,0,7.63,6.64,11.03,6.12,7.34,7.79,6.36,7.94,13.82,11.56,7.65,8.41,92.63,105.84,47.93,6.63,2.49,12.92,0.67,0.47,32.71,22.22,22.44,16.44,19.52,26.53,18.72,18.62,38.02,38.23,35.65,18.74,75.69,34.85,31.12,35.04,25.92,35.65,18.77,2.81,0.69,0.02,0.02,0.03,0.13,0.35,152.94,167.71,120.08,107.41,60.35,0.08,0.13,0.55,0.42,0.17,4.68,36.37,0,0,0,25.27,10.73,5.48,2.43,1.44,45.17,46.62,40.87,49.34,38.47,106.27,23.04,10.22,2.77,1.84,64.79,10.49,2.23,1.34,2.73,30.11,56.69,2,232.6,0.78,79.15,0.39,254.77,52.01,0.18,0.01,275.29,73.75,0.21,1.64,229.62,0.66,353.77,0.29,0.8,0.19,144.46,6.25,
CF275,10/1/88,9/30/14,0.51,0.71,0.69,0.54,0.05,0.04,-0.23,0.49,0.32,2.73,0.03149,0.07523,0.1689,0.37665,0.9347,0.046605,0.51,0.17,254.48,140.47,3,29.75,7.81,5.01,5.32,2.4,1.77,0.54,0.55,0.72,0.46,0.42,0.45,0.37,0.42,0.7,0.5,0.46,0.49,155,152,180,156,194,190,187,219,235,237,209,198,9.47,1.02,1.91,81.2,0.23,0.02,1.53,0.38,0.8,0.04,0.16,0.18,0.18,0.12,0.07,0.05,0.05,0.06,0.07,0.08,0.08,0.12,110.76,0.07,0.03,0.06,0.04,75.39,2.77,0.26,147.68,0,4.44,3.85,6.46,3.54,4.4,4.56,3.63,4.46,7.91,6.56,4.36,4.85,94.33,74.03,39.34,5.5,2.22,15.93,0.62,0.45,27.66,17.91,19.34,13.45,16.85,24,15.57,18.42,41.11,28.38,34.65,20.35,65.96,28.92,29.88,33.65,22.38,34.65,18.58,2.65,0.69,0.02,0.02,0.02,0.09,0.21,116.67,118.43,129.12,100.15,61.37,0.12,0.12,0.53,0.45,0.19,4.73,40.28,0,0,0,14.78,6.34,3.23,1.45,0.87,45.79,46.18,40.87,48.43,38.27,87.51,19.12,8.58,2.71,1.85,65.1,10.63,2.01,1.3,2.82,30.73,56.69,2,232.6,0.74,74.64,0.39,259.01,50.95,0.18,0.01,261.41,76.67,0.21,0.95,231.77,0.38,351.99,0.28,0.72,0.16,142.54,6.16,
CF276,10/1/88,9/30/14,1.39,0.74,0.71,0.55,0.04,0.04,0.1,1.34,0.32,2.84,0.07403,0.1799,0.4134,0.994375,2.5955,0.10815,1.39,0.41,267.51,151.41,3.39,35.08,8.56,5.53,6.15,2.65,1.99,1.48,1.48,1.95,1.22,1.09,1.2,1.03,1.19,2,1.42,1.3,1.34,164,160,190,170,203,201,195,231,247,248,219,209,9.94,1.03,1.97,82.38,0.24,0.02,1.48,0.42,0.84,0.04,0.4,0.44,0.44,0.28,0.15,0.1,0.11,0.14,0.18,0.21,0.22,0.3,117.44,0.07,0.02,0.06,0.03,76.24,2.31,0.23,148.97,0,12.62,10.86,18.19,10.19,11.77,12.87,10.51,13.61,23.1,19.52,12.59,13.8,93.19,95.98,46.35,6.33,2.43,11.26,0.69,0.47,31.96,21.46,22.24,15.58,19.18,26.45,18.18,18.65,39.36,34.08,35.42,18.33,73.27,33.04,30.73,34.73,24.96,35.42,18.85,2.65,0.69,0.04,0.04,0.05,0.22,0.59,135.89,140.57,120,103.49,59.58,0.1,0.12,0.53,0.44,0.18,4.65,35.54,0,0,0,42.05,17.69,9.07,4.06,2.39,45.95,47.5,41.33,49.3,38.32,101.72,21.94,9.82,2.75,1.84,64.02,10.5,2.13,1.32,2.73,30.56,49.69,2,244.7,0.59,66.39,0.39,263.15,49.79,0.17,0.01,275.29,73.75,0.21,2.72,230.27,1.1,353.7,0.29,0.79,0.18,144.08,6.26,
CF277,10/1/88,9/30/14,0.31,0.64,0.61,0.5,0.11,0.07,0.7,0.31,0.3,2.5,0.01533,0.0641725,0.1659,0.2818,0.5167,0.0265,0.31,0.17,231.74,106.61,1.82,33.74,7.55,4.39,2.95,1.63,1.28,0.32,0.32,0.4,0.29,0.24,0.2,0.23,0.27,0.53,0.36,0.32,0.28,113,109,147,131,144,164,193,193,192,155,136,115,10.71,1.04,1.97,83.33,0.25,0.02,1.11,0.47,0.87,0.01,0.15,0.17,0.14,0.05,0.06,0.03,0.04,0.04,0.1,0.14,0.13,0.13,102.68,0.01,0.01,0,0.03,78.12,0.61,0.41,142.43,0,1.78,1.8,3.18,2.07,1.84,1.58,2.46,2.3,5.25,3.51,2.38,1.67,117.57,46.59,21.4,3.04,1.66,24.87,0.94,0.45,19.22,11.4,13.29,8.38,11.87,18.15,9.42,16.12,47.14,36.96,25.92,21.01,37.04,15.38,22,22.15,12.04,25.92,16.77,2.15,0.62,0,0.01,0.01,0.05,0.12,Inf,91.56,123.4,84.46,52.67,0,0.06,0.3,0.39,0.09,5.29,34.12,0,0,0,8.9,4.35,2.31,0.9,0.52,61.71,57.41,59.51,51.87,37.39,53.65,13.92,5.42,2.46,3.13,71.15,11.69,1.68,1.28,3.83,25.63,48.71,2.05,198.3,0.71,71.88,0.44,121.53,53.38,0.18,0.01,242.8,64.11,0.28,0.41,291.94,0.18,384.51,0.3,0.27,0.12,128.65,6.83,
CF278,10/1/88,9/30/14,0.16,0.63,0.59,0.48,0.11,0.08,0.59,0.16,0.31,2.47,0.0074445,0.033625,0.0919,0.154625,0.27105,0.01311,0.16,0.09,232.41,104.23,1.78,36.47,8.04,4.6,2.93,1.68,1.35,0.17,0.17,0.21,0.16,0.12,0.1,0.11,0.14,0.28,0.19,0.17,0.15,108,105,141,125,138,163,197,193,192,150,130,109,10.54,1.06,2.01,83.42,0.24,0.02,1.1,0.51,0.88,0.01,0.08,0.09,0.08,0.03,0.03,0.02,0.02,0.02,0.06,0.08,0.07,0.07,102.55,0.02,0.01,0.01,0.03,77.21,1.05,0.43,81.53,0,0.9,0.94,1.64,1.05,0.94,0.81,1.24,1.2,2.75,1.78,1.23,0.86,120.73,45.14,20.63,3.01,1.72,37.58,1,0.44,21.31,11.43,13.09,8.71,11.81,17.94,9.65,14.38,44.01,39.42,23.58,23.05,36.77,15.15,19.88,21.38,11.73,23.58,14.96,2.31,0.65,0,0,0.01,0.02,0.06,Inf,Inf,68.51,109.81,59.27,0,0.11,0.22,0.37,0.08,6.05,40.16,0,0,0,4.63,2.27,1.2,0.47,0.28,64.52,59.42,61.09,52.1,36.18,50.38,13.06,5.11,2.45,3.33,81.4,12.55,1.67,1.29,4.38,27.46,42.44,2.03,198.3,0.71,71.42,0.47,111.83,54.55,0.18,0.01,242.8,64.11,0.28,0.2,313.38,0.09,396.51,0.3,0.18,0.1,122.12,6.83,
CF279,10/1/88,9/30/14,0.15,0.54,0.49,0.39,0.04,0.08,-0.58,0.14,0.35,1.93,0.0165,0.0446675,0.09511,0.169325,0.2648,0.0252825,0.15,0.1,170.71,80,1.5,16.06,5.45,3.79,2.48,1.54,1.25,0.17,0.18,0.21,0.16,0.12,0.12,0.11,0.13,0.19,0.15,0.13,0.14,83,76,93,85,106,125,120,142,155,156,112,116,7.38,1.07,2.25,77.53,0.22,0.01,1.66,0.5,1.01,0.05,0.08,0.1,0.11,0.08,0.05,0.03,0.04,0.05,0.05,0.06,0.05,0.07,94.77,0.08,0.05,0.06,0.08,68.55,5.4,0.58,97.06,0,0.76,0.77,1.11,0.77,0.74,0.93,0.64,0.93,1.56,1.3,0.71,0.81,118.47,26.05,12.57,2.65,1.69,61.82,-0.03,0.32,12.99,7.5,9.47,5.13,9.18,16.07,6.36,14.81,50.75,15.85,22.96,25.32,28.38,7.77,21.73,16.08,7.04,22.96,15.23,3.58,0.46,0.01,0.01,0.01,0.03,0.06,78.1,92.68,112.85,83.6,64.48,0.11,0.11,0.32,0.47,0.17,6.06,37.81,0,0,0,3.24,1.29,0.71,0.39,0.25,61.13,56.5,47.99,44.03,39.16,34.07,7.47,4.1,2.54,3.49,68.88,11.16,1.88,1.07,4.17,30.29,69.75,2,214.5,0.71,71.16,0.42,262.03,60.22,0.18,0.01,277.77,74.16,0.37,0.15,307.69,0.06,493.42,0.29,0.25,0.05,137.08,8.46,
CF282,10/1/88,9/30/14,0.07,0.83,0.79,0.6,0.06,0.02,0.2,0.07,0.3,3.3,0.0030535,0.004754,0.0081095,0.02832,0.1689,0.00367,0.07,0.01,333.87,211.08,7,55.37,11.75,5.96,16.59,4.53,2.36,0.09,0.08,0.09,0.07,0.06,0.07,0.06,0.07,0.1,0.08,0.07,0.06,260,244,246,234,232,215,195,233,268,268,266,249,7.05,0.94,2.28,78.96,0.28,0.01,1.51,0.38,0.77,0.06,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,53.54,0.24,0.03,0.25,0.03,42.93,2.64,0.07,55.4,0,1.03,0.88,1.05,0.81,0.66,0.67,0.51,0.78,1.22,1.11,0.86,0.72,89.72,282.66,121.43,16.89,2.83,54.64,0.43,0.32,56.34,48.46,49.61,35.74,40.05,47.38,39.58,21.5,61.4,56.77,47,11.85,89.27,61.77,44.08,46.46,39.42,47,21.88,3.54,0.65,0,0,0,0.01,0.03,Inf,Inf,Inf,58.44,41.14,0,0,1.23,0.59,0.38,4.19,38.59,0,0,0,2.46,1.13,0.55,0.22,0.13,46.91,45.11,40.23,39.3,33.32,303.35,67.82,27.13,2.58,1.92,12.88,6.28,2.03,1.65,1.94,28.89,62.79,2,264.33,0.71,71.13,0.47,296.28,53.26,0.18,0.01,343.37,73.6,0.35,0.18,206.03,0.07,357.34,0.3,1.34,0.19,149.23,5.26,
CF283,10/1/88,9/30/14,0.1,0.81,0.78,0.6,0.06,0.02,0.19,0.09,0.32,3.28,0.0052305,0.00863,0.015355,0.0433825,0.2126,0.006455,0.1,0.02,309.11,195.07,5,40.66,9.08,5.03,10.37,3.05,1.74,0.12,0.1,0.12,0.1,0.08,0.1,0.08,0.09,0.13,0.11,0.09,0.08,250,235,236,221,219,205,185,225,257,255,254,237,7.28,0.98,2.38,80.25,0.32,0.01,1.65,0.39,0.79,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,69.66,0.18,0.03,0.19,0.04,46,3.02,0.09,62.93,0,1.38,1.17,1.38,1.05,0.85,0.87,0.65,1.05,1.62,1.46,1.12,0.94,94.44,194.14,79.91,10.63,2.17,41.77,0.36,0.3,36.6,31.42,33.36,23.69,27.72,35.02,26.41,20.5,54.57,33.5,45.19,11.4,77.85,48.96,43.31,43.77,33.88,45.19,20.88,3.46,0.65,0,0,0,0.01,0.04,Inf,Inf,Inf,79.05,41.84,0,0,0.65,0.56,0.34,4.45,26.4,0,0,0,3.33,1.51,0.74,0.3,0.17,48.68,46.62,41.18,39.06,34.93,216.87,48.19,19.54,2.61,1.9,24.56,6.08,1.98,1.51,2.02,26.5,62.79,2,264.33,0.71,71.18,0.47,282.65,59.99,0.18,0.01,357.89,71.45,0.35,0.23,218.34,0.09,371.92,0.29,1.19,0.18,145.35,5.58,
CF286,10/1/88,9/30/14,0.34,0.46,0.31,0.19,0.16,0.16,-0.88,0.32,0.35,0.99,0.047855,0.1212,0.26095,0.452125,0.7045,0.0719675,0.34,0.26,87.9,76.1,1.31,14.75,5.34,3.73,2.53,1.6,1.27,0.37,0.42,0.47,0.39,0.27,0.27,0.28,0.3,0.39,0.33,0.27,0.28,50,50,45,50,60,79,78,79,95,76,74,71,4.03,1.03,2.06,70.63,0.17,0.02,1.65,0.45,0.98,0.05,0.2,0.26,0.28,0.22,0.12,0.09,0.12,0.15,0.15,0.15,0.13,0.15,94.78,0.06,0.05,0.04,0.08,74.33,4.75,0.66,85.69,0,0.94,1.02,1.23,1.08,0.86,1.02,0.82,0.83,1.76,1.21,0.88,0.89,87.01,10.37,5.6,2.71,1.74,55.33,0.06,0.15,11.8,3.87,4.2,2.75,5.19,11.1,3.56,12.96,49.06,15.54,16.69,26.51,28.42,1.77,17.69,10.12,1.54,16.69,13.35,3.19,0.38,0.02,0.02,0.03,0.07,0.14,68.88,85.78,76.01,60.51,57.47,0.08,0.11,0.27,0.46,0.18,6.83,34.14,0,0,0,3.08,1.75,1.19,0.78,0.54,54.53,43.03,34.42,36.92,40.13,11.8,4.56,2.99,2.52,4.65,70.89,12.08,2.52,1.11,5.62,29.41,89.08,2,231.6,0.71,71.34,0.5,243.42,64.89,0.17,0.01,223.67,74.13,0.43,0.18,208.52,0.06,293.86,0.27,0.25,0.1,126.54,6.31,
CF287,10/1/88,9/30/14,0.45,0.51,0.41,0.31,0.07,0.16,-0.55,0.45,0.35,1.58,0.05696,0.1382,0.3217,0.5555,0.8392,0.0818825,0.45,0.32,139.16,76.11,1.41,14.74,5.58,4.02,2.44,1.59,1.3,0.54,0.55,0.65,0.5,0.38,0.34,0.28,0.3,0.51,0.47,0.41,0.44,67,55,70,59,80,84,97,107,120,131,82,85,6.9,1.09,2.1,77.9,0.17,0.02,1.73,0.37,0.85,0,0.29,0.34,0.36,0.29,0.17,0.13,0.13,0.13,0.15,0.19,0.2,0.25,93.17,0.08,0.06,0.05,0.09,68.24,5.96,0.64,87.94,0,2.24,1.94,2.96,1.69,1.91,1.83,1.3,1.78,3.57,3.22,1.82,1.85,124.79,21.98,9.12,2.62,1.74,26.63,0.7,0.27,20.42,6.93,7.77,5.46,8.46,14.41,6.13,11.12,49.49,14,15.31,24.15,26.12,5.58,12.35,11.73,5,15.31,11.46,2.42,0.54,0.03,0.03,0.04,0.09,0.16,80.9,95.54,78.94,107.09,81.12,0.09,0.12,0.28,0.43,0.18,8.04,51.59,0,0,0,8.06,3.55,2,1.16,0.76,60.97,52.92,44.72,40.66,38.01,25.05,6.22,3.61,2.49,4.97,76.95,20.37,2.08,1.08,6.19,41.44,74.94,2,260.3,0.71,71.83,0.57,262.08,57.02,0.18,0.01,293.68,72.42,0.22,0.34,336.39,0.12,520.68,0.27,0.17,0.05,133.08,9.17,
CF288,10/1/88,9/30/14,0.1,0.78,0.74,0.58,0.04,0.06,-1.07,0.09,0.41,3.09,0.003064,0.0076795,0.023725,0.064945,0.15495,0.0046345,0.1,0.02,289.8,170.05,5,50.63,13.26,8.46,7.6,3.7,2.86,0.12,0.11,0.14,0.12,0.09,0.09,0.08,0.08,0.11,0.08,0.09,0.08,236,210,209,195,217,214,215,256,264,256,263,224,6.12,1.26,2.55,80.77,0.31,0.01,2.25,0.36,0.99,0.06,0.02,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,138.12,0.06,0.01,0.04,0.02,84.09,1.4,0.21,83.91,0,1.3,1.07,1.5,1.23,1.02,0.89,0.84,1.04,1.44,1.08,1.08,0.84,89.27,108.85,77.05,7.75,3.25,37.64,-0.1,0.36,53.91,37.78,34.55,24.35,28.45,37.35,29.01,18.62,56.44,58.85,34.08,20.77,98.92,39.42,29,33.58,29.62,34.08,18.85,2.85,0.58,0,0,0,0.01,0.04,Inf,Inf,Inf,194.49,68.66,0,0,0.42,0.32,0.13,4.8,26.94,0,0,0,3.09,1.34,0.67,0.28,0.17,39.68,47.91,40.2,35.15,38.09,130.24,28.24,11.8,2.69,1.64,95.49,9.37,2.65,1.25,3.03,37.22,71.21,2,238.1,0.71,71.37,0.4,295.07,53.68,0.18,0.01,317.57,81.09,0.35,0.22,225.98,0.09,360.72,0.28,0.93,0.15,135.77,6.5,
CF289,10/1/88,9/30/14,0.85,0.69,0.62,0.46,0.06,0.14,-1.15,0.74,0.47,2.4,0.039315,0.1126,0.33525,0.82705,1.631,0.0608575,0.85,0.34,223.67,118.67,2.5,41.6,11.64,7.35,4.68,2.65,2.1,1.06,1.05,1.36,1.14,0.79,0.75,0.59,0.6,0.86,0.65,0.69,0.7,177,148,138,131,148,161,172,210,225,210,203,167,6.59,1.54,2.96,85.52,0.44,0.01,2.75,0.44,1.17,0.15,0.31,0.46,0.52,0.43,0.21,0.17,0.16,0.12,0.11,0.09,0.12,0.25,132.96,0.03,0.01,0.01,0.03,115.57,1.28,0.39,152.37,0,8.49,7.38,9.98,7.97,6.68,5.46,4.98,6.72,9.33,6.87,6.66,5.19,94.47,53.77,30.3,4.8,2.43,13.7,-0.55,0.28,30.24,18.59,16.42,11.21,15.2,21.57,14.27,15.54,56.73,39.31,23.38,24.67,69.62,21.62,22.15,23.04,16.88,23.38,15.65,2.96,0.58,0.01,0.02,0.03,0.12,0.3,188.86,124.86,142.79,179.14,94.33,0.03,0.09,0.36,0.34,0.12,5.79,34.71,0,0,0,20.93,9.65,5.05,2.32,1.51,38.27,47.16,40.91,39.1,44.54,62.43,15.06,6.92,2.75,2.24,96.99,13.25,3.38,1.25,4.45,46.83,68.48,2,256.67,0.76,76.97,0.4,278.07,43.18,0.18,0.01,167.99,80.46,0.35,1.24,254.89,0.52,379.3,0.29,0.44,0.16,144.65,6.93,
CF290,10/1/88,9/30/14,0.47,0.38,0.31,0.32,0.21,0.23,0.95,0.47,0.21,1.18,0.12545,0.2541,0.4077,0.5718,0.7604,0.182125,0.47,0.41,103.67,52.82,1.15,6.07,2.83,2.25,1.55,0.98,0.77,0.46,0.47,0.5,0.43,0.35,0.26,0.31,0.47,0.78,0.66,0.52,0.45,32,30,49,41,47,83,80,64,71,48,38,39,6.07,0.73,1.42,61.55,0.08,0.02,0.9,0.27,0.61,0.01,0.35,0.36,0.31,0.12,0.12,0.05,0.11,0.27,0.43,0.48,0.38,0.34,79.9,0.03,0.02,0.01,0.1,144.86,2.12,0.77,291.49,0,1.13,1.09,1.68,1.14,0.94,0.89,1.34,1.83,3.85,2.47,1.51,1.17,134.06,11.53,5.34,1.85,1.39,36.83,0.43,0.28,12.4,5.26,7.14,3.39,6.93,13.34,3.89,8.15,47.65,13.73,12.23,28.16,10.38,2.5,11.42,6.27,2,12.23,9.15,2.85,0.62,0.01,0.03,0.06,0.13,0.21,321.98,212.8,147.21,67.66,49.5,0.02,0.15,0.32,0.62,0.31,9.19,85.81,0,0,0,6.41,3.49,1.97,1.06,0.74,66.82,67.83,63.38,42.87,27.1,15.72,4.83,2.6,1.92,6.91,71.62,20.21,1.69,1.25,8.36,40.94,62.75,2.02,235.5,0.71,71.47,0.69,168.5,31.14,0.19,0.02,245.57,62.73,0.53,0.19,418.03,0.08,535.65,0.3,0.04,0.02,117.5,7.4,
CF291,10/1/88,9/30/14,0.92,0.4,0.29,0.2,0.15,0.15,-0.1,0.93,0.28,0.87,0.22475,0.4324,0.75495,1.19025,1.7735,0.291,0.92,0.75,77.97,64.5,1.23,7.9,3.74,2.76,2.07,1.3,1.01,1,1.08,1.17,0.97,0.7,0.7,0.75,0.86,1.15,1,0.85,0.85,36,40,39,45,50,61,63,61,68,58,49,45,3.66,0.85,1.7,61.8,0.14,0.02,1.27,0.36,0.72,-0.01,0.6,0.67,0.73,0.56,0.34,0.3,0.37,0.47,0.52,0.52,0.46,0.51,77.29,0.13,0.11,0.11,0.15,57.78,10.97,0.7,63.63,0,2.2,2.43,2.89,2.47,1.91,2.16,1.96,2.15,4.46,3.28,2.38,2.1,89.15,7.37,4.62,2.37,1.59,31.32,0.23,0.15,10.15,2.84,4.57,2.41,4.9,11.44,3.04,11.65,48.72,4.27,16.42,27.83,18.35,1.04,16.65,8,0.92,16.42,12.23,2.96,0.38,0.1,0.11,0.14,0.26,0.43,65.08,60.55,53.07,51.2,46.02,0.13,0.19,0.34,0.57,0.3,7.45,41.97,0,0,0,7.38,4.31,3,2.05,1.44,61.63,46.92,36.18,32.95,33.07,9.78,3.97,2.72,2.2,4.62,61.58,13.44,2.04,1.1,5.69,38.78,82,2,213.2,0.72,73,0.4,209.87,59.75,0.18,0.01,223.67,74.13,0.25,0.43,216.6,0.14,302.77,0.25,0.21,0.07,123.15,6.37,
CF292,10/1/88,9/30/14,1.19,0.43,0.34,0.25,0.12,0.14,-0.25,1.21,0.28,1.03,0.25815,0.51315,0.92125,1.48325,2.3255,0.338575,1.19,0.92,93.68,68.57,1.29,9.01,3.92,2.89,2.25,1.35,1.06,1.31,1.42,1.55,1.26,0.9,0.9,0.95,1.06,1.47,1.24,1.09,1.1,47,52,53,58,68,82,81,82,93,76,69,59,3.81,0.85,1.65,61.73,0.16,0.02,1.25,0.36,0.73,-0.02,0.74,0.84,0.91,0.68,0.39,0.33,0.41,0.51,0.55,0.59,0.54,0.62,79.64,0.11,0.09,0.1,0.13,60.56,9.11,0.64,68.74,0,3.59,3.94,4.87,4.07,3.31,3.61,3.17,3.56,7.5,5.48,4.02,3.46,89.23,10.66,5.94,2.53,1.61,23.65,0.15,0.19,9.2,3.34,4.92,2.88,5.5,11.65,3.57,13.92,47.55,5.04,21.62,23.34,23.23,2.35,21,12.08,2,21.62,14.46,3.08,0.38,0.11,0.12,0.16,0.33,0.57,68.14,64.59,54,52.48,43.89,0.12,0.17,0.36,0.56,0.28,6.67,37.12,0,0,0,12.34,6.73,4.23,2.63,1.85,58.39,47.59,39.76,34.88,34.34,13.39,4.59,2.85,2.28,3.63,71.95,10.86,1.76,1.13,4.45,34.85,82,2,213.2,0.41,49.8,0.4,205.14,55.75,0.18,0.01,222.71,73.97,0.25,0.79,207.3,0.27,296.13,0.25,0.3,0.08,128.27,5.48,
CF293,10/1/88,9/30/14,0.25,0.79,0.76,0.58,0.05,0.03,-1.01,0.24,0.34,3.02,0.010485,0.022155,0.04892,0.128425,0.51165,0.01451,0.25,0.05,288.26,185.7,5,48.85,10.01,5.8,10.03,3.29,2.13,0.28,0.24,0.33,0.29,0.22,0.23,0.21,0.22,0.3,0.23,0.23,0.22,234,215,224,212,222,199,200,243,251,243,251,226,5.65,1.16,2.33,75.25,0.3,0.01,1.82,0.34,0.79,0.04,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.03,97.59,0.07,0.01,0.07,0.02,72.03,1.43,0.12,105.92,0,3.18,2.43,3.77,3.2,2.52,1.89,2.11,2.75,3.54,2.77,2.76,2.25,84.86,142.25,75.51,10.24,2.57,19.86,0.2,0.37,46.95,33.68,35.48,23.99,28.54,36.38,27.57,20.27,45.72,45.88,40.42,11.94,81.54,47.19,33.65,39.65,30.77,40.42,20.46,2.65,0.73,0,0,0.01,0.03,0.11,Inf,Inf,61.07,94.68,45.15,0,0.2,0.61,0.45,0.21,4.52,28.52,0,0,0,7.43,3.43,1.73,0.71,0.43,39.92,44.92,37.53,31.08,30.7,151.88,35.36,14.51,2.53,2.08,32.02,12.15,2.08,1.53,2.26,22.53,63.73,2,222.2,0.73,73,0.37,274.65,48.64,0.18,0.01,221.75,77.41,0.32,0.58,206.86,0.22,331.9,0.27,1.16,0.24,137.5,5.48,
